cod_grande_reg,nome_grande_reg,cod_unidade_fed,nome_unidade_fed,cod_municipio,nome_municipio,pib,pib_per_capita,ano,mes,regiao,hom_doloso,lesao_corp_morte,latrocinio,cvli,hom_por_interv_policial,letalidade_violenta,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_transeunte,roubo_celular,roubo_em_coletivo,roubo_rua,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_cx_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,posse_drogas,trafico_drogas,apreensao_drogas_sem_autor,recuperacao_veiculos,apf,aaapai,cmp,cmba,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,registro_ocorrencias,fase
3,Sudeste     ,33,Rio de Janeiro     ,3301801,Engenheiro Paulo de Frontin             ,222111.195        ,16372.64          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,6              ,0              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,1              ,0              ,1              ,0              ,3              ,6              ,0              ,0              ,0              ,0              ,3              ,1              ,2              ,0              ,0              ,2              ,2              ,1              ,0              ,12             ,0              ,0              ,0              ,0              ,0              ,37             ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301850,Guapimirim                              ,764536.809        ,13744.23          ,2014,01,Baixada Fluminense,1              ,0              ,0              ,1              ,0              ,1              ,3              ,49             ,2              ,1              ,6              ,1              ,0              ,0              ,1              ,10             ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,12             ,1              ,0              ,1              ,0              ,0              ,9              ,11             ,0              ,0              ,0              ,6              ,2              ,1              ,1              ,0              ,0              ,11             ,2              ,2              ,0              ,35             ,4              ,0              ,0              ,0              ,0              ,137            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301876,Iguaba Grande                           ,361776.871        ,14269.03          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,23             ,1              ,0              ,21             ,3              ,0              ,0              ,3              ,3              ,1              ,1              ,1              ,0              ,0              ,0              ,0              ,0              ,1              ,10             ,4              ,2              ,1              ,1              ,0              ,25             ,33             ,0              ,0              ,0              ,1              ,1              ,1              ,0              ,0              ,2              ,1              ,0              ,1              ,0              ,19             ,0              ,0              ,0              ,0              ,0              ,126            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301900,Itaboraí                                ,5053066.112       ,22243.74          ,2014,01,Interior          ,5              ,0              ,0              ,5              ,0              ,5              ,10             ,118            ,9              ,2              ,58             ,67             ,7              ,10             ,84             ,51             ,2              ,10             ,2              ,0              ,0              ,0              ,0              ,0              ,13             ,162            ,31             ,9              ,6              ,12             ,0              ,106            ,164            ,0              ,3              ,1              ,28             ,30             ,3              ,25             ,2              ,49             ,58             ,26             ,14             ,0              ,169            ,11             ,0              ,0              ,0              ,0              ,908            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302007,Itaguaí                                 ,7930533.651       ,67566.36          ,2014,01,Baixada Fluminense,9              ,0              ,0              ,9              ,0              ,9              ,3              ,70             ,5              ,2              ,27             ,26             ,1              ,3              ,30             ,29             ,0              ,3              ,3              ,0              ,0              ,0              ,0              ,0              ,10             ,75             ,16             ,11             ,3              ,8              ,0              ,77             ,115            ,0              ,0              ,0              ,19             ,7              ,0              ,7              ,0              ,13             ,23             ,3              ,6              ,0              ,57             ,8              ,0              ,1              ,0              ,0              ,461            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302056,Italva                                  ,279815.854        ,19312.30          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302106,Itaocara                                ,1024006.622       ,44865.34          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,22             ,1              ,1              ,9              ,0              ,0              ,0              ,0              ,1              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,2              ,1              ,0              ,0              ,0              ,0              ,12             ,13             ,0              ,2              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,2              ,0              ,0              ,0              ,17             ,0              ,0              ,0              ,0              ,0              ,82             ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302205,Itaperuna                               ,2198576.663       ,22315.82          ,2014,01,Interior          ,1              ,0              ,0              ,1              ,0              ,1              ,1              ,53             ,2              ,0              ,26             ,3              ,0              ,0              ,3              ,2              ,0              ,7              ,0              ,0              ,0              ,0              ,0              ,0              ,2              ,14             ,5              ,2              ,1              ,1              ,0              ,39             ,48             ,0              ,2              ,0              ,12             ,66             ,53             ,11             ,4              ,0              ,29             ,5              ,6              ,0              ,33             ,1              ,0              ,0              ,0              ,0              ,328            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302254,Itatiaia                                ,3276893.333       ,109244.34         ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,2              ,23             ,3              ,0              ,5              ,1              ,0              ,0              ,1              ,0              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,2              ,1              ,2              ,1              ,3              ,0              ,24             ,31             ,0              ,0              ,0              ,2              ,125            ,114            ,13             ,0              ,4              ,24             ,2              ,12             ,0              ,17             ,0              ,0              ,0              ,0              ,0              ,280            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302270,Japeri                                  ,1105726.247       ,11153.07          ,2014,01,Baixada Fluminense,5              ,0              ,0              ,5              ,0              ,5              ,5              ,72             ,4              ,0              ,8              ,7              ,0              ,2              ,9              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,4              ,14             ,2              ,3              ,1              ,2              ,0              ,22             ,30             ,0              ,0              ,0              ,2              ,21             ,4              ,16             ,2              ,3              ,16             ,9              ,10             ,0              ,50             ,3              ,1              ,0              ,0              ,0              ,298            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302304,Laje do Muriaé                          ,126636.940        ,17250.64          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,8              ,0              ,0              ,2              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,3              ,3              ,0              ,0              ,0              ,0              ,1              ,0              ,1              ,0              ,0              ,1              ,0              ,1              ,0              ,6              ,0              ,0              ,0              ,0              ,0              ,28             ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302403,Macaé                                   ,21419169.559      ,93279.32          ,2014,01,Interior          ,10             ,0              ,0              ,10             ,3              ,13             ,19             ,86             ,26             ,4              ,60             ,66             ,7              ,3              ,76             ,42             ,4              ,19             ,0              ,0              ,0              ,0              ,0              ,0              ,11             ,151            ,36             ,20             ,7              ,13             ,0              ,169            ,246            ,0              ,4              ,0              ,32             ,25             ,10             ,16             ,1              ,23             ,38             ,14             ,12             ,0              ,92             ,9              ,1              ,0              ,0              ,0              ,886            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302452,Macuco                                  ,126244.881        ,23465.59          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302502,Magé                                    ,3289174.993       ,14078.32          ,2014,01,Baixada Fluminense,15             ,0              ,0              ,15             ,0              ,15             ,18             ,187            ,5              ,1              ,41             ,39             ,2              ,5              ,46             ,18             ,0              ,8              ,0              ,0              ,0              ,1              ,2              ,0              ,14             ,89             ,34             ,17             ,3              ,8              ,0              ,83             ,145            ,0              ,2              ,0              ,22             ,14             ,3              ,7              ,4              ,32             ,50             ,11             ,23             ,1              ,155            ,13             ,2              ,0              ,0              ,0              ,868            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302601,Mangaratiba                             ,3011897.584       ,75282.38          ,2014,01,Interior          ,2              ,0              ,0              ,2              ,0              ,2              ,3              ,29             ,1              ,0              ,21             ,3              ,0              ,1              ,4              ,4              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,9              ,7              ,4              ,0              ,7              ,0              ,30             ,49             ,0              ,0              ,0              ,2              ,4              ,3              ,1              ,0              ,5              ,10             ,3              ,2              ,0              ,38             ,0              ,1              ,1              ,0              ,0              ,181            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302700,Maricá                                  ,9757407.892       ,68180.70          ,2014,01,Grande Niter�i    ,6              ,0              ,0              ,6              ,0              ,6              ,4              ,77             ,2              ,9              ,65             ,16             ,1              ,0              ,17             ,14             ,0              ,5              ,2              ,0              ,0              ,0              ,1              ,0              ,2              ,41             ,19             ,7              ,4              ,8              ,0              ,102            ,140            ,0              ,2              ,0              ,20             ,14             ,2              ,12             ,0              ,16             ,25             ,9              ,13             ,0              ,103            ,7              ,0              ,0              ,0              ,0              ,573            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302809,Mendes                                  ,243980.940        ,13490.04          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,8              ,0              ,0              ,3              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,0              ,0              ,0              ,9              ,10             ,0              ,0              ,0              ,5              ,2              ,2              ,0              ,0              ,0              ,0              ,0              ,1              ,0              ,7              ,0              ,2              ,0              ,0              ,0              ,53             ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302858,Mesquita                                ,2013252.202       ,11809.80          ,2014,01,Baixada Fluminense,4              ,0              ,0              ,4              ,0              ,4              ,7              ,111            ,11             ,2              ,17             ,100            ,0              ,2              ,102            ,53             ,3              ,16             ,4              ,0              ,0              ,0              ,0              ,0              ,2              ,180            ,32             ,19             ,11             ,6              ,0              ,75             ,143            ,0              ,2              ,0              ,14             ,10             ,0              ,9              ,1              ,26             ,20             ,6              ,9              ,0              ,108            ,15             ,1              ,0              ,0              ,0              ,717            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3302908,Miguel Pereira                          ,644124.688        ,25942.43          ,2014,01,Interior          ,2              ,0              ,0              ,2              ,0              ,2              ,1              ,21             ,1              ,2              ,11             ,0              ,0              ,1              ,1              ,0              ,0              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,2              ,3              ,0              ,0              ,0              ,0              ,18             ,21             ,0              ,0              ,0              ,2              ,4              ,1              ,3              ,0              ,0              ,11             ,2              ,3              ,0              ,22             ,0              ,0              ,0              ,0              ,0              ,114            ,3              
