cod_municipio,cod_grande_reg,cod_unidade_fed,nome_grande_reg,nome_unidade_fed,nome_municipio,pib,pib_per_capita
3301306,3,33,Sudeste     ,Rio de Janeiro     ,Casimiro de Abreu                       ,1140072.349       ,27693.84          
3301405,3,33,Sudeste     ,Rio de Janeiro     ,Conceição de Macabu                     ,332182.999        ,14886.09          
3301504,3,33,Sudeste     ,Rio de Janeiro     ,Cordeiro                                ,345983.494        ,16352.37          
3301603,3,33,Sudeste     ,Rio de Janeiro     ,Duas Barras                             ,233632.846        ,20963.02          
3301702,3,33,Sudeste     ,Rio de Janeiro     ,Duque de Caxias                         ,41539673.406      ,46836.03          
3301801,3,33,Sudeste     ,Rio de Janeiro     ,Engenheiro Paulo de Frontin             ,259199.894        ,19170.17          
3301850,3,33,Sudeste     ,Rio de Janeiro     ,Guapimirim                              ,888163.457        ,15553.16          
3301876,3,33,Sudeste     ,Rio de Janeiro     ,Iguaba Grande                           ,426113.175        ,16122.33          
3301900,3,33,Sudeste     ,Rio de Janeiro     ,Itaboraí                                ,4350443.239       ,18850.55          
3302007,3,33,Sudeste     ,Rio de Janeiro     ,Itaguaí                                 ,7861566.037       ,65049.57          
3302056,3,33,Sudeste     ,Rio de Janeiro     ,Italva                                  ,330552.477        ,22567.93          
3302106,3,33,Sudeste     ,Rio de Janeiro     ,Itaocara                                ,502289.397        ,22092.25          
3302205,3,33,Sudeste     ,Rio de Janeiro     ,Itaperuna                               ,2519720.139       ,25322.80          
3302254,3,33,Sudeste     ,Rio de Janeiro     ,Itatiaia                                ,3604719.175       ,118284.47         
3302270,3,33,Sudeste     ,Rio de Janeiro     ,Japeri                                  ,1293083.951       ,12858.57          
3302304,3,33,Sudeste     ,Rio de Janeiro     ,Laje do Muriaé                          ,132345.781        ,18236.98          
3302403,3,33,Sudeste     ,Rio de Janeiro     ,Macaé                                   ,17571148.197      ,73374.85          
3302452,3,33,Sudeste     ,Rio de Janeiro     ,Macuco                                  ,153751.034        ,28383.06          
3302502,3,33,Sudeste     ,Rio de Janeiro     ,Magé                                    ,3684859.853       ,15592.74          
3302601,3,33,Sudeste     ,Rio de Janeiro     ,Mangaratiba                             ,3852889.755       ,92713.38          
3302700,3,33,Sudeste     ,Rio de Janeiro     ,Maricá                                  ,5854082.235       ,39059.50          
3302809,3,33,Sudeste     ,Rio de Janeiro     ,Mendes                                  ,292162.301        ,16131.76          
3302858,3,33,Sudeste     ,Rio de Janeiro     ,Mesquita                                ,2287034.631       ,13372.91          
3302908,3,33,Sudeste     ,Rio de Janeiro     ,Miguel Pereira                          ,681749.611        ,27429.07          
3303005,3,33,Sudeste     ,Rio de Janeiro     ,Miracema                                ,473870.902        ,17810.01          
3303104,3,33,Sudeste     ,Rio de Janeiro     ,Natividade                              ,250927.595        ,16744.13          
3303203,3,33,Sudeste     ,Rio de Janeiro     ,Nilópolis                               ,2541271.827       ,16051.59          
3303302,3,33,Sudeste     ,Rio de Janeiro     ,Niterói                                 ,23019308.800      ,46234.37          
3303401,3,33,Sudeste     ,Rio de Janeiro     ,Nova Friburgo                           ,4802421.132       ,25944.73          
3303500,3,33,Sudeste     ,Rio de Janeiro     ,Nova Iguaçu                             ,16068661.734      ,20150.43          
3303609,3,33,Sudeste     ,Rio de Janeiro     ,Paracambi                               ,959698.852        ,19166.76          
3303708,3,33,Sudeste     ,Rio de Janeiro     ,Paraíba do Sul                          ,898723.631        ,21029.17          
3303807,3,33,Sudeste     ,Rio de Janeiro     ,Paraty                                  ,1252001.064       ,30555.24          
3303856,3,33,Sudeste     ,Rio de Janeiro     ,Paty do Alferes                         ,497391.747        ,18463.63          
3303906,3,33,Sudeste     ,Rio de Janeiro     ,Petrópolis                              ,12693830.212      ,42574.17          
3303955,3,33,Sudeste     ,Rio de Janeiro     ,Pinheiral                               ,382103.434        ,15870.72          
3304003,3,33,Sudeste     ,Rio de Janeiro     ,Piraí                                   ,1981324.647       ,70539.90          
3304102,3,33,Sudeste     ,Rio de Janeiro     ,Porciúncula                             ,317557.737        ,17490.51          
3304110,3,33,Sudeste     ,Rio de Janeiro     ,Porto Real                              ,2555768.184       ,137762.41         
3304128,3,33,Sudeste     ,Rio de Janeiro     ,Quatis                                  ,248237.215        ,18164.58          
